
Episode 1:
Step 0: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 43: Action: [0], Reward: [-50.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 44: Action: [1], Reward: [-75.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 45: Action: [0], Reward: [-75.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 46: Action: [1], Reward: [-100.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 47: Action: [1], Reward: [-125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 48: Action: [0], Reward: [-125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 49: Action: [0], Reward: [-125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 50: Action: [1], Reward: [-150.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 51: Action: [0], Reward: [-150.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 52: Action: [1], Reward: [-175.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 53: Action: [0], Reward: [-175.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 54: Action: [1], Reward: [-200.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 55: Action: [1], Reward: [-225.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 56: Action: [0], Reward: [-225.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 57: Action: [1], Reward: [-250.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 58: Action: [1], Reward: [-275.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 59: Action: [1], Reward: [-300.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 60: Action: [1], Reward: [-325.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 61: Action: [0], Reward: [-325.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 62: Action: [1], Reward: [-350.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 63: Action: [1], Reward: [-375.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 64: Action: [0], Reward: [-375.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 65: Action: [1], Reward: [-400.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 66: Action: [0], Reward: [-400.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 67: Action: [1], Reward: [-425.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 68: Action: [1], Reward: [-450.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 69: Action: [1], Reward: [-475.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 70: Action: [0], Reward: [-475.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 71: Action: [1], Reward: [-500.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 72: Action: [0], Reward: [-500.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 73: Action: [0], Reward: [-500.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 74: Action: [1], Reward: [-525.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 75: Action: [1], Reward: [-550.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 76: Action: [0], Reward: [-550.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 77: Action: [1], Reward: [-575.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 78: Action: [1], Reward: [-600.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 79: Action: [1], Reward: [-625.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 80: Action: [0], Reward: [-625.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 81: Action: [0], Reward: [-625.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 82: Action: [0], Reward: [-625.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 83: Action: [1], Reward: [-650.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 84: Action: [1], Reward: [-675.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 85: Action: [1], Reward: [-700.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 86: Action: [1], Reward: [-725.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 87: Action: [1], Reward: [-750.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 88: Action: [1], Reward: [-775.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 89: Action: [0], Reward: [-775.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 90: Action: [1], Reward: [-800.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 91: Action: [1], Reward: [-825.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 92: Action: [1], Reward: [-850.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 93: Action: [0], Reward: [-850.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 94: Action: [0], Reward: [-850.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 95: Action: [0], Reward: [-850.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 96: Action: [0], Reward: [-850.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 97: Action: [0], Reward: [-850.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 98: Action: [1], Reward: [-875.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 99: Action: [0], Reward: [-875.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 100: Action: [1], Reward: [-900.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 101: Action: [0], Reward: [-900.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 102: Action: [1], Reward: [-925.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 103: Action: [1], Reward: [-950.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 104: Action: [0], Reward: [-950.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 105: Action: [0], Reward: [-950.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 106: Action: [0], Reward: [-950.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 107: Action: [0], Reward: [-950.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 108: Action: [1], Reward: [-975.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 109: Action: [1], Reward: [-1000.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 110: Action: [0], Reward: [-1000.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 111: Action: [0], Reward: [-1000.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 112: Action: [1], Reward: [-1025.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 113: Action: [0], Reward: [-1025.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 114: Action: [0], Reward: [-1025.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 115: Action: [1], Reward: [-1050.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 116: Action: [0], Reward: [-1050.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 117: Action: [0], Reward: [-1050.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 118: Action: [1], Reward: [-1075.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 119: Action: [0], Reward: [-1075.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 120: Action: [0], Reward: [-1075.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 121: Action: [1], Reward: [-1100.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 122: Action: [1], Reward: [-1125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 123: Action: [0], Reward: [-1125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 124: Action: [0], Reward: [-1125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 125: Action: [0], Reward: [-1125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 126: Action: [0], Reward: [-1125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 127: Action: [0], Reward: [-1125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 128: Action: [0], Reward: [-1125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 129: Action: [0], Reward: [-1125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 130: Action: [0], Reward: [-940.46466], Dry Yield: 13.584378138031127, Total Irrigation: 1525.0
End of Episode 1: Mean Reward: -454.5073547363281, Final Yield: 13.584378138031127, Total Irrigation: 1525.0

Episode 2:
Step 0: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 1: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 2: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 3: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 4: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 5: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 6: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 7: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 8: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 9: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 10: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 11: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 12: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 13: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 14: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 15: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 16: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 17: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 18: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 19: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 20: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 21: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 22: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 23: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 24: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 25: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 26: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 27: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 28: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 29: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 30: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 31: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 32: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 33: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 34: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 35: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 36: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 37: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 38: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 39: Action: [1], Reward: [-25.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 40: Action: [1], Reward: [-50.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 41: Action: [0], Reward: [-50.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 42: Action: [1], Reward: [-75.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 43: Action: [0], Reward: [-75.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 44: Action: [1], Reward: [-100.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 45: Action: [0], Reward: [-100.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 46: Action: [0], Reward: [-100.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 47: Action: [1], Reward: [-125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 48: Action: [0], Reward: [-125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 49: Action: [0], Reward: [-125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 50: Action: [0], Reward: [-125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 51: Action: [1], Reward: [-150.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 52: Action: [1], Reward: [-175.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 53: Action: [1], Reward: [-200.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 54: Action: [1], Reward: [-225.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 55: Action: [0], Reward: [-225.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 56: Action: [0], Reward: [-225.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 57: Action: [1], Reward: [-250.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 58: Action: [0], Reward: [-250.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 59: Action: [1], Reward: [-275.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 60: Action: [0], Reward: [-275.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 61: Action: [0], Reward: [-275.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 62: Action: [1], Reward: [-300.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 63: Action: [0], Reward: [-300.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 64: Action: [1], Reward: [-325.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 65: Action: [0], Reward: [-325.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 66: Action: [0], Reward: [-325.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 67: Action: [1], Reward: [-350.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 68: Action: [0], Reward: [-350.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 69: Action: [1], Reward: [-375.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 70: Action: [1], Reward: [-400.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 71: Action: [1], Reward: [-425.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 72: Action: [0], Reward: [-425.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 73: Action: [0], Reward: [-425.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 74: Action: [1], Reward: [-450.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 75: Action: [0], Reward: [-450.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 76: Action: [0], Reward: [-450.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 77: Action: [0], Reward: [-450.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 78: Action: [0], Reward: [-450.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 79: Action: [0], Reward: [-450.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 80: Action: [0], Reward: [-450.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 81: Action: [1], Reward: [-475.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 82: Action: [1], Reward: [-500.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 83: Action: [0], Reward: [-500.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 84: Action: [0], Reward: [-500.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 85: Action: [1], Reward: [-525.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 86: Action: [1], Reward: [-550.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 87: Action: [1], Reward: [-575.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 88: Action: [1], Reward: [-600.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 89: Action: [0], Reward: [-600.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 90: Action: [0], Reward: [-600.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 91: Action: [0], Reward: [-600.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 92: Action: [0], Reward: [-600.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 93: Action: [1], Reward: [-625.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 94: Action: [0], Reward: [-625.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 95: Action: [1], Reward: [-650.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 96: Action: [1], Reward: [-675.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 97: Action: [1], Reward: [-700.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 98: Action: [0], Reward: [-700.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 99: Action: [1], Reward: [-725.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 100: Action: [1], Reward: [-750.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 101: Action: [0], Reward: [-750.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 102: Action: [1], Reward: [-775.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 103: Action: [1], Reward: [-800.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 104: Action: [1], Reward: [-825.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 105: Action: [0], Reward: [-825.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 106: Action: [1], Reward: [-850.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 107: Action: [1], Reward: [-875.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 108: Action: [1], Reward: [-900.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 109: Action: [1], Reward: [-925.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 110: Action: [1], Reward: [-950.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 111: Action: [0], Reward: [-950.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 112: Action: [1], Reward: [-975.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 113: Action: [1], Reward: [-1000.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 114: Action: [1], Reward: [-1025.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 115: Action: [0], Reward: [-1025.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 116: Action: [0], Reward: [-1025.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 117: Action: [1], Reward: [-1050.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 118: Action: [0], Reward: [-1050.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 119: Action: [0], Reward: [-1050.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 120: Action: [1], Reward: [-1075.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 121: Action: [0], Reward: [-1075.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 122: Action: [0], Reward: [-1075.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 123: Action: [1], Reward: [-1100.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 124: Action: [0], Reward: [-1100.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 125: Action: [0], Reward: [-1100.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 126: Action: [1], Reward: [-1125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 127: Action: [1], Reward: [-1150.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 128: Action: [0], Reward: [-1150.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 129: Action: [1], Reward: [-1175.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 130: Action: [1], Reward: [-1006.07227], Dry Yield: 13.925793760734209, Total Irrigation: 1600.0
End of Episode 2: Mean Reward: -403.8631286621094, Final Yield: 13.925793760734209, Total Irrigation: 1600.0

Episode 3:
Step 0: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 1: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 2: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 3: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 4: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 5: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 6: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 7: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 8: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 9: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 10: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 11: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 12: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 13: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 14: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 15: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 16: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 17: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 18: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 19: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 20: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 21: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 22: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 23: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 24: Action: [1], Reward: [-25.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 25: Action: [1], Reward: [-50.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 26: Action: [0], Reward: [-50.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 27: Action: [0], Reward: [-50.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 28: Action: [1], Reward: [-75.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 29: Action: [0], Reward: [-75.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 30: Action: [0], Reward: [-75.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 31: Action: [0], Reward: [-75.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 32: Action: [1], Reward: [-100.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 33: Action: [1], Reward: [-125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 34: Action: [1], Reward: [-150.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 35: Action: [1], Reward: [-175.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 36: Action: [0], Reward: [-175.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 37: Action: [0], Reward: [-175.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 38: Action: [0], Reward: [-175.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 39: Action: [1], Reward: [-200.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 40: Action: [0], Reward: [-200.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 41: Action: [0], Reward: [-200.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 42: Action: [0], Reward: [-200.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 43: Action: [0], Reward: [-200.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 44: Action: [0], Reward: [-200.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 45: Action: [0], Reward: [-200.], Dry Yield: 0.0, Total Irrigation: 0.0
