Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
29	3	2000	10.7	35.5	8.3	4.9
30	3	2000	15.0	40.0	9.9	5.4
31	3	2000	12.2	36.5	6.4	4.8
1	4	2000	7.8	17.7	0.1	5.4
2	4	2000	8.7	15.3	7.3	4.1
3	4	2000	6.5	30.0	9.7	4.3
4	4	2000	14.9	37.3	9.5	4.3
5	4	2000	16.3	33.7	5.7	3.6
6	4	2000	18.6	30.6	2.3	5.9
7	4	2000	15.6	37.8	7.1	5.2
8	4	2000	15.5	34.6	0.0	3.1
9	4	2000	10.0	33.8	7.5	4.2
10	4	2000	14.9	35.6	0.2	3.0
11	4	2000	10.4	37.8	0.9	5.5
12	4	2000	6.0	30.7	2.0	4.3
13	4	2000	13.6	35.6	0.5	5.9
14	4	2000	11.2	18.1	9.3	4.6
15	4	2000	18.8	28.9	0.2	3.4
16	4	2000	10.8	25.3	8.5	3.3
17	4	2000	17.9	36.6	0.2	4.8
18	4	2000	16.7	23.6	0.4	4.2
19	4	2000	8.0	21.1	3.5	4.5
20	4	2000	7.0	33.2	0.8	4.3
21	4	2000	12.0	30.9	3.7	4.3
22	4	2000	13.8	22.2	7.6	4.8
23	4	2000	10.6	36.0	4.6	4.2
24	4	2000	12.4	24.9	1.4	5.2
25	4	2000	13.7	38.0	0.6	5.8
26	4	2000	16.2	38.3	3.0	4.1
27	4	2000	7.0	18.9	5.1	3.7
28	4	2000	5.7	16.6	1.4	4.0
29	4	2000	10.2	38.9	4.8	5.2
30	4	2000	9.4	25.7	9.1	4.4
1	5	2000	19.3	27.8	2.9	3.5
2	5	2000	12.9	29.8	6.6	5.3
3	5	2000	13.6	26.7	8.1	4.8
4	5	2000	9.6	39.0	2.0	5.5
5	5	2000	14.6	28.5	2.3	5.2
6	5	2000	13.7	28.8	3.7	5.4
7	5	2000	18.3	37.3	9.0	4.2
8	5	2000	16.3	38.2	4.0	4.6
9	5	2000	13.9	39.9	2.8	4.5
10	5	2000	12.0	22.0	3.2	3.9
11	5	2000	15.2	27.9	0.7	5.4
12	5	2000	17.9	34.4	9.6	4.7
13	5	2000	12.3	18.1	6.5	3.4
14	5	2000	7.8	22.3	0.9	5.8
15	5	2000	8.5	18.4	8.6	3.3
16	5	2000	18.8	27.2	2.7	4.5
17	5	2000	15.4	23.8	4.4	5.7
18	5	2000	6.1	30.8	0.5	3.8
19	5	2000	16.9	22.7	0.9	3.2
20	5	2000	17.3	28.0	9.2	4.1
21	5	2000	16.2	29.0	7.7	3.6
22	5	2000	7.0	16.2	10.0	4.1
23	5	2000	6.2	20.3	5.7	3.3
24	5	2000	16.7	38.4	6.9	4.3
25	5	2000	12.9	19.8	6.8	6.0
26	5	2000	10.8	34.9	0.5	3.6
27	5	2000	17.9	26.7	7.0	4.2
28	5	2000	13.0	20.1	2.7	5.4
29	5	2000	15.8	36.8	8.2	5.6
30	5	2000	15.8	39.9	4.5	6.0
31	5	2000	11.6	18.2	1.7	5.7
1	6	2000	11.6	20.6	0.6	5.1
2	6	2000	15.4	30.4	1.2	4.3
3	6	2000	10.6	31.1	2.0	5.0
4	6	2000	19.1	31.5	5.9	4.6
5	6	2000	11.5	22.3	3.8	5.0
6	6	2000	18.9	38.8	2.1	3.8
7	6	2000	13.5	28.3	1.8	3.9
8	6	2000	18.0	28.3	6.7	5.1
9	6	2000	15.2	37.9	7.5	4.7
10	6	2000	13.7	27.1	5.1	5.2
11	6	2000	19.6	38.5	5.2	4.3
12	6	2000	12.2	27.0	6.4	4.6
13	6	2000	10.7	30.1	2.9	4.6
14	6	2000	13.1	31.4	1.2	3.2
15	6	2000	8.6	33.9	4.1	5.2
16	6	2000	5.8	18.9	0.1	3.1
17	6	2000	19.5	25.2	4.0	4.5
18	6	2000	9.1	33.5	2.7	3.4
19	6	2000	15.4	26.3	5.7	5.7
20	6	2000	6.6	15.6	6.2	3.4
21	6	2000	5.6	30.6	8.0	3.4
22	6	2000	13.1	20.6	7.8	3.5
23	6	2000	15.2	32.3	6.0	3.7
24	6	2000	12.6	35.8	6.5	4.3
25	6	2000	19.4	35.2	3.6	4.7
26	6	2000	14.7	31.5	8.3	4.1
27	6	2000	6.7	23.2	5.4	3.4
28	6	2000	7.7	38.2	6.5	5.6
29	6	2000	5.7	23.5	8.9	4.4
30	6	2000	17.2	27.1	7.3	6.0
1	7	2000	9.6	32.0	3.5	3.6
2	7	2000	9.8	26.2	3.3	5.4
3	7	2000	14.3	32.4	7.7	3.3
4	7	2000	13.8	24.4	8.8	5.2
5	7	2000	13.7	27.9	5.9	5.8
6	7	2000	6.6	29.6	7.6	5.4
7	7	2000	6.8	33.4	2.5	3.9
8	7	2000	11.0	29.9	0.1	5.9
9	7	2000	18.8	36.5	3.5	4.9
10	7	2000	18.1	39.5	6.4	5.0
11	7	2000	16.5	30.0	0.0	5.2
12	7	2000	15.0	39.3	3.2	4.0
13	7	2000	19.6	24.9	1.3	5.0
14	7	2000	20.0	38.7	5.8	5.0
15	7	2000	11.4	29.6	4.9	3.8
16	7	2000	14.9	38.1	7.9	4.3
17	7	2000	9.2	35.1	0.3	4.9
18	7	2000	14.3	22.5	0.3	4.6
19	7	2000	12.0	22.7	3.9	4.6
20	7	2000	13.9	25.9	6.4	4.1
21	7	2000	11.7	24.3	5.4	4.2
22	7	2000	6.8	35.3	9.0	3.7
23	7	2000	11.5	21.1	5.4	3.1
24	7	2000	6.6	30.2	9.1	5.8
25	7	2000	18.9	33.7	0.2	4.1
26	7	2000	12.8	29.9	0.9	4.1
27	7	2000	9.5	27.5	6.6	4.0
28	7	2000	13.3	36.1	7.0	5.5
29	7	2000	8.3	20.1	4.0	4.5
30	7	2000	8.2	23.4	1.7	4.6
31	7	2000	11.2	28.7	1.3	3.9
1	8	2000	17.3	28.4	6.1	3.8
2	8	2000	11.4	32.4	4.0	4.8
3	8	2000	18.2	26.0	3.5	3.5
4	8	2000	11.3	30.1	1.8	5.9
5	8	2000	12.9	28.9	7.1	3.3
6	8	2000	5.8	20.1	8.1	3.0
7	8	2000	5.1	31.9	1.3	3.4
8	8	2000	17.0	31.5	1.2	5.8
9	8	2000	16.4	37.3	7.3	4.7
10	8	2000	10.1	20.8	6.7	4.4
11	8	2000	16.6	33.7	9.8	4.7
12	8	2000	16.4	35.8	5.8	5.7
13	8	2000	14.6	40.0	6.1	5.1
14	8	2000	10.5	20.0	8.7	3.9
15	8	2000	6.8	26.2	6.6	4.8
16	8	2000	10.0	19.8	6.6	5.4
17	8	2000	16.8	39.4	3.0	5.0
18	8	2000	15.0	26.6	2.5	3.0
19	8	2000	9.0	36.7	3.7	5.6
20	8	2000	8.3	30.7	1.4	3.9
21	8	2000	16.7	25.4	8.6	4.8
22	8	2000	16.1	29.4	2.9	4.3
23	8	2000	10.0	37.4	5.0	3.5
24	8	2000	7.6	34.1	9.7	3.9
25	8	2000	11.9	39.9	9.5	4.8
26	8	2000	7.9	22.2	1.8	3.0
27	8	2000	10.3	33.3	3.1	4.4
28	8	2000	11.1	34.6	8.1	4.2
29	8	2000	6.6	26.4	6.7	5.8
30	8	2000	15.6	32.4	0.8	5.0
31	8	2000	11.5	27.6	9.7	4.2
1	9	2000	11.2	35.5	2.4	3.7
2	9	2000	9.5	18.1	2.8	4.7
3	9	2000	13.9	31.5	5.9	3.2
4	9	2000	12.4	34.8	4.6	3.5
5	9	2000	16.5	29.7	7.5	3.8
6	9	2000	12.9	36.1	7.5	3.5
7	9	2000	14.7	31.3	5.3	5.9
8	9	2000	6.6	33.4	2.9	4.7
9	9	2000	11.1	17.6	6.7	4.6
10	9	2000	5.6	16.0	9.4	4.5
11	9	2000	9.0	31.7	3.7	4.0
12	9	2000	11.0	23.5	9.7	3.9
13	9	2000	12.9	30.0	9.2	4.3
14	9	2000	8.0	38.5	3.7	4.5
15	9	2000	16.7	26.5	4.5	5.3
16	9	2000	19.5	35.9	3.7	5.4
17	9	2000	15.7	22.9	4.2	5.1
18	9	2000	11.5	30.6	3.1	5.7
19	9	2000	9.7	28.0	1.6	3.2
20	9	2000	10.2	38.4	6.0	5.0
21	9	2000	12.3	31.5	1.1	5.2
22	9	2000	14.6	27.4	7.5	4.1
23	9	2000	11.6	30.5	7.4	4.7
24	9	2000	11.8	27.5	0.7	3.0
25	9	2000	11.6	32.4	8.2	5.4
26	9	2000	15.1	32.6	1.3	3.5
27	9	2000	7.2	30.5	5.7	3.1
28	9	2000	8.3	32.4	3.6	4.1
29	9	2000	12.3	20.4	9.7	4.6
30	9	2000	9.8	25.5	4.7	4.0
1	10	2000	5.5	39.3	5.6	3.1
2	10	2000	9.0	19.7	5.8	4.2
3	10	2000	10.3	36.4	4.8	3.5
4	10	2000	13.7	19.8	8.8	3.2
5	10	2000	5.4	35.3	2.6	5.6
6	10	2000	8.4	34.3	5.7	4.7
7	10	2000	13.6	30.4	9.8	5.5
8	10	2000	12.8	24.9	1.7	5.8
9	10	2000	10.7	16.0	3.9	3.1
10	10	2000	17.2	38.6	5.1	4.1
11	10	2000	18.7	26.2	6.2	3.9
12	10	2000	15.7	26.1	4.0	3.3
13	10	2000	10.9	33.5	7.8	4.0
14	10	2000	17.2	33.3	0.9	3.9
15	10	2000	14.7	27.0	7.5	4.1
16	10	2000	7.1	34.9	5.2	5.9
17	10	2000	6.6	24.5	4.0	5.5
18	10	2000	14.2	23.6	4.4	4.3
19	10	2000	17.9	23.9	8.4	4.6
20	10	2000	19.2	29.4	8.7	5.2
21	10	2000	8.4	32.9	2.6	3.2
22	10	2000	11.3	18.2	5.1	4.5
23	10	2000	14.9	33.6	5.7	5.9
24	10	2000	12.7	25.3	0.7	5.0
25	10	2000	15.1	27.1	5.9	5.1
26	10	2000	18.8	27.5	4.3	3.7
27	10	2000	8.9	29.3	5.8	3.8
28	10	2000	16.5	27.5	2.1	5.2
29	10	2000	12.3	27.8	3.4	5.3
30	10	2000	9.4	15.0	7.2	3.3
31	10	2000	8.7	39.2	1.8	6.0
1	11	2000	5.1	25.4	4.6	3.4
2	11	2000	19.0	34.8	1.7	5.5
3	11	2000	11.7	39.9	10.0	3.9
4	11	2000	11.7	17.2	5.0	3.8
5	11	2000	14.0	36.1	4.6	4.1
6	11	2000	5.1	13.4	0.2	5.3
7	11	2000	19.7	32.4	5.1	4.3
8	11	2000	8.5	32.6	2.1	4.7
9	11	2000	5.1	32.9	5.3	5.3
10	11	2000	17.0	25.5	2.4	5.2
11	11	2000	11.4	35.9	5.7	3.8
12	11	2000	16.3	25.5	9.3	3.7
13	11	2000	14.1	37.2	0.5	5.3
14	11	2000	14.3	24.5	2.4	4.9
15	11	2000	17.3	31.7	1.0	5.7
16	11	2000	9.9	28.5	7.6	3.4
17	11	2000	10.2	19.6	9.3	3.1
18	11	2000	13.4	38.6	0.4	3.1
19	11	2000	10.4	26.3	2.4	5.9
20	11	2000	18.0	35.9	8.6	4.1
21	11	2000	5.5	12.3	8.9	5.8
22	11	2000	10.7	19.4	2.0	5.2
23	11	2000	18.5	26.7	5.1	3.4
24	11	2000	7.3	21.1	8.0	3.3
25	11	2000	8.5	30.0	7.3	4.3
26	11	2000	12.1	20.9	0.8	5.6
27	11	2000	17.1	26.7	7.8	4.7
28	11	2000	9.3	25.2	4.7	3.5
29	11	2000	13.0	25.6	8.1	5.6
30	11	2000	20.0	28.0	9.5	6.0
1	12	2000	13.3	35.2	3.6	4.7
2	12	2000	13.4	25.7	8.8	4.9
3	12	2000	13.1	32.1	8.6	3.5
4	12	2000	13.5	22.6	8.7	5.4
5	12	2000	6.6	31.0	7.9	3.0
6	12	2000	17.7	36.4	3.2	4.5
7	12	2000	7.1	15.6	1.5	4.1
8	12	2000	11.3	35.1	3.4	3.1
9	12	2000	15.0	37.4	1.3	4.1
10	12	2000	14.7	39.7	5.4	3.1
11	12	2000	15.4	36.1	2.6	3.1
12	12	2000	7.8	19.4	1.9	5.7
13	12	2000	19.1	32.1	2.9	3.1
14	12	2000	14.2	23.8	1.1	4.6
15	12	2000	14.7	37.2	4.8	5.7
16	12	2000	18.9	26.9	1.9	4.6
17	12	2000	13.0	22.8	8.7	4.7
18	12	2000	16.2	38.5	1.3	4.1
19	12	2000	15.6	22.2	5.3	4.1
20	12	2000	12.8	36.1	8.8	4.5
21	12	2000	13.6	22.9	3.3	3.4
22	12	2000	14.1	35.8	7.1	5.0
23	12	2000	18.1	24.1	4.7	3.8
24	12	2000	10.5	28.5	9.9	5.7
25	12	2000	9.4	15.8	5.3	5.9
26	12	2000	13.9	39.5	2.8	5.0
27	12	2000	6.1	31.1	1.4	3.7
28	12	2000	17.7	37.1	8.6	5.2
29	12	2000	7.8	24.2	8.6	5.0
30	12	2000	10.4	25.3	1.9	5.2
31	12	2000	17.2	24.1	7.2	6.0
1	1	2001	12.1	17.7	9.6	5.0
2	1	2001	9.3	21.4	2.7	3.4
3	1	2001	8.9	29.3	7.4	4.6
4	1	2001	16.5	40.0	1.9	4.7
5	1	2001	8.7	19.8	5.8	4.2
6	1	2001	12.3	36.3	9.3	5.1
7	1	2001	10.2	16.8	7.7	5.4
8	1	2001	16.3	30.6	4.9	4.6
9	1	2001	7.6	13.3	0.1	5.3
10	1	2001	18.3	39.2	0.7	3.7
11	1	2001	16.7	37.2	2.1	4.4
12	1	2001	14.9	25.4	1.6	5.5
13	1	2001	6.5	16.9	1.4	5.4
14	1	2001	18.7	24.4	3.5	5.1
15	1	2001	16.0	30.9	7.9	4.6
16	1	2001	8.3	25.1	9.3	4.3
17	1	2001	9.0	32.6	4.7	4.8
18	1	2001	7.9	39.9	0.5	5.4
19	1	2001	12.4	18.5	5.4	5.8
20	1	2001	18.4	30.9	5.0	5.8
21	1	2001	18.9	28.9	3.9	3.8
22	1	2001	7.8	33.6	9.0	4.2
23	1	2001	14.5	39.2	5.4	5.7
24	1	2001	7.4	24.7	2.2	5.8
25	1	2001	13.7	31.8	7.5	3.0
26	1	2001	17.6	28.8	7.1	4.4
27	1	2001	19.1	39.6	7.9	3.9
28	1	2001	9.0	37.8	1.3	3.7
29	1	2001	14.9	21.0	7.7	5.6
30	1	2001	18.9	38.6	2.4	4.0
31	1	2001	8.6	29.9	4.0	3.2
1	2	2001	17.9	28.0	5.4	4.0
2	2	2001	6.0	34.1	8.5	5.5
3	2	2001	15.6	34.5	8.8	4.5
4	2	2001	5.2	31.1	3.9	6.0
5	2	2001	18.5	39.4	1.8	3.3
6	2	2001	7.5	18.5	0.7	5.1
7	2	2001	5.9	28.8	6.5	5.4
8	2	2001	10.1	39.6	9.8	4.5
9	2	2001	16.0	32.4	5.0	3.9
10	2	2001	18.4	25.8	9.4	5.3
11	2	2001	7.5	21.1	4.7	3.9
12	2	2001	16.8	37.4	3.6	4.9
13	2	2001	11.6	39.6	7.9	4.7
14	2	2001	16.8	30.6	2.0	4.1
15	2	2001	16.0	23.6	3.6	4.0
16	2	2001	18.2	29.2	8.9	4.1
17	2	2001	14.0	30.0	2.7	3.5
18	2	2001	17.7	39.6	5.9	4.5
19	2	2001	13.5	38.7	6.4	5.2
20	2	2001	14.1	37.0	8.9	5.3
21	2	2001	11.6	33.0	4.7	3.5
22	2	2001	6.4	27.0	0.3	3.2
23	2	2001	15.4	37.4	4.5	3.1
24	2	2001	6.5	33.8	3.1	4.5
25	2	2001	13.8	20.8	3.1	4.8
26	2	2001	13.3	24.3	8.3	5.0
27	2	2001	6.4	33.7	5.5	5.4
28	2	2001	16.7	27.4	2.4	5.1
1	3	2001	12.1	38.7	3.8	3.5
2	3	2001	12.1	19.3	5.2	4.7
3	3	2001	6.8	13.2	6.1	4.0
4	3	2001	15.1	30.0	8.2	3.8
5	3	2001	18.5	32.3	7.2	3.3
6	3	2001	6.3	37.3	9.2	5.0
7	3	2001	11.8	35.4	3.4	4.9
8	3	2001	19.0	38.2	3.6	4.0
9	3	2001	14.8	37.5	9.1	6.0
10	3	2001	7.9	18.5	6.7	4.3
11	3	2001	14.9	38.1	8.8	4.9
12	3	2001	15.4	21.8	8.4	5.7
13	3	2001	10.1	39.9	2.5	4.4
14	3	2001	11.4	36.7	9.5	5.8
15	3	2001	13.8	22.6	0.7	5.8
16	3	2001	7.5	21.1	7.4	4.6
17	3	2001	7.0	20.2	8.6	5.0
18	3	2001	11.5	32.2	0.1	5.1
19	3	2001	11.0	29.3	3.3	3.8
20	3	2001	5.3	30.4	3.0	4.6
21	3	2001	16.8	29.7	7.1	5.3
22	3	2001	18.0	31.0	1.0	4.2
23	3	2001	7.8	24.2	9.1	4.1
24	3	2001	19.2	33.2	2.8	6.0
25	3	2001	19.1	25.0	1.8	4.1
26	3	2001	16.2	26.7	2.6	4.2
27	3	2001	13.8	24.5	7.1	4.5
28	3	2001	16.1	29.7	9.2	3.6
29	3	2001	12.5	29.1	8.8	3.1
30	3	2001	15.9	21.1	1.3	4.6
31	3	2001	7.9	18.8	8.5	3.4
1	4	2001	9.4	26.9	1.9	3.8
2	4	2001	11.4	17.1	5.4	3.8
3	4	2001	7.8	15.1	6.2	4.9
4	4	2001	15.2	35.5	6.7	5.6
5	4	2001	7.8	24.9	7.6	5.3
6	4	2001	14.0	20.4	9.8	4.7
7	4	2001	8.3	27.4	9.8	3.2
8	4	2001	16.6	36.2	5.1	3.1
9	4	2001	19.4	39.3	5.5	4.6
10	4	2001	17.0	24.8	9.5	4.5
11	4	2001	7.7	19.4	7.6	5.6
12	4	2001	13.0	24.0	4.7	3.7
13	4	2001	5.6	14.5	6.1	5.6
14	4	2001	19.6	37.9	3.1	3.6
15	4	2001	9.7	33.8	9.1	5.3
16	4	2001	18.8	35.1	10.0	4.9
17	4	2001	7.1	24.2	9.4	4.8
18	4	2001	8.7	20.7	1.2	4.6
19	4	2001	7.3	30.8	6.8	4.4
20	4	2001	13.6	32.9	6.9	4.5
21	4	2001	7.6	28.7	5.1	3.9
22	4	2001	10.1	31.5	4.6	5.3
23	4	2001	15.7	26.6	2.1	3.9
24	4	2001	7.7	31.6	2.6	3.3
25	4	2001	7.5	35.1	3.4	5.4
26	4	2001	15.7	23.5	6.0	5.1
27	4	2001	17.9	38.1	2.7	4.5
28	4	2001	14.5	20.6	1.8	5.6
29	4	2001	16.4	21.5	4.0	4.9
30	4	2001	13.2	27.5	8.9	4.8
1	5	2001	16.7	37.3	4.6	5.8
2	5	2001	5.2	20.4	0.7	3.2
3	5	2001	14.6	21.3	7.7	3.3
4	5	2001	17.3	29.2	5.4	3.3
5	5	2001	14.9	29.7	0.3	3.7
6	5	2001	19.3	38.4	7.3	4.9
7	5	2001	9.7	39.2	0.5	3.8
8	5	2001	9.0	14.7	8.5	3.2
9	5	2001	8.8	25.9	8.9	5.5
10	5	2001	6.9	14.8	4.5	4.6
11	5	2001	5.1	39.8	6.4	3.8
12	5	2001	6.9	12.6	6.5	4.8
13	5	2001	12.1	32.7	7.8	5.7
14	5	2001	6.3	24.7	6.9	5.2
15	5	2001	11.8	34.1	5.4	4.2
16	5	2001	8.6	39.5	3.2	3.6
17	5	2001	11.8	25.7	3.6	3.5
18	5	2001	12.6	18.7	7.7	5.6
19	5	2001	18.4	35.2	1.2	4.5
20	5	2001	17.3	34.0	3.2	4.4
21	5	2001	7.3	36.3	7.5	3.8
22	5	2001	16.9	30.4	9.6	3.4
23	5	2001	6.2	29.9	5.5	4.5
24	5	2001	12.4	32.7	2.6	5.3
25	5	2001	17.2	28.6	7.7	5.7
26	5	2001	15.5	23.4	5.2	5.1
27	5	2001	10.6	32.2	8.6	5.6
28	5	2001	8.9	34.8	3.9	5.0
29	5	2001	5.6	39.4	8.9	4.4
30	5	2001	10.3	30.5	6.3	3.8
31	5	2001	15.3	37.8	9.9	3.7
1	6	2001	10.7	32.6	8.8	5.3
2	6	2001	19.1	38.5	6.5	4.0
3	6	2001	15.1	31.9	2.1	4.0
4	6	2001	7.9	25.8	0.8	3.9
5	6	2001	6.4	18.4	7.5	4.7
6	6	2001	17.2	23.3	0.2	3.9
7	6	2001	14.5	36.1	4.5	5.9
8	6	2001	7.4	17.4	0.6	4.3
9	6	2001	7.9	28.3	0.4	3.1
10	6	2001	6.3	35.1	2.2	4.4
11	6	2001	8.4	34.1	9.7	4.7
12	6	2001	6.3	32.1	6.4	5.7
13	6	2001	15.3	29.3	1.1	3.2
14	6	2001	17.1	38.7	9.8	3.9
15	6	2001	15.3	30.4	0.3	5.9
16	6	2001	16.7	22.4	3.4	5.3
17	6	2001	6.9	18.0	9.2	5.1
18	6	2001	9.7	36.5	2.3	3.3
19	6	2001	11.1	20.4	3.0	5.4
20	6	2001	10.9	28.8	6.9	5.1
21	6	2001	9.5	17.5	9.9	3.5
22	6	2001	14.9	25.7	5.6	4.7
23	6	2001	11.6	39.4	5.6	4.4
24	6	2001	12.6	20.6	2.1	3.4
25	6	2001	7.5	29.2	5.0	4.8
26	6	2001	9.8	33.2	3.0	5.0
27	6	2001	10.7	27.4	6.0	4.8
28	6	2001	6.1	29.6	1.2	3.1
29	6	2001	16.6	38.9	6.3	4.4
30	6	2001	17.6	23.6	5.7	4.3
1	7	2001	10.9	16.0	7.1	5.7
2	7	2001	7.0	22.3	7.4	4.7
3	7	2001	6.2	39.0	8.9	5.9
4	7	2001	18.2	26.1	5.4	5.0
5	7	2001	17.2	31.5	4.4	3.8
6	7	2001	19.0	30.5	9.9	3.6
7	7	2001	10.7	22.3	5.7	5.7
8	7	2001	15.3	27.6	4.2	4.0
9	7	2001	5.1	19.0	7.6	5.4
10	7	2001	17.6	39.1	0.2	4.0
11	7	2001	8.5	28.9	2.7	4.4
12	7	2001	15.1	39.0	1.8	3.8
13	7	2001	19.8	25.2	2.6	3.0
14	7	2001	10.0	30.3	0.1	5.8
15	7	2001	17.8	27.6	0.4	3.2
16	7	2001	19.8	35.0	8.6	4.2
17	7	2001	17.3	38.8	5.0	3.8
18	7	2001	9.8	35.6	0.3	5.2
19	7	2001	12.7	21.1	9.8	5.9
20	7	2001	6.4	16.2	7.4	5.8
21	7	2001	13.6	20.3	9.7	4.3
22	7	2001	15.3	31.1	9.9	5.9
23	7	2001	7.3	33.5	6.6	5.0
24	7	2001	14.4	37.5	0.4	4.0
25	7	2001	17.1	38.5	1.4	5.6
26	7	2001	13.9	24.1	2.3	5.0
27	7	2001	13.8	26.5	5.0	4.8
28	7	2001	13.9	32.5	7.7	5.0
29	7	2001	11.6	23.9	0.4	4.6
30	7	2001	8.6	18.8	0.7	3.1
31	7	2001	10.9	32.6	3.6	3.7
1	8	2001	13.9	24.3	7.0	3.2
2	8	2001	6.2	38.0	10.0	3.8
3	8	2001	14.8	37.7	1.6	5.4
4	8	2001	17.3	39.9	3.4	3.2
5	8	2001	19.0	27.1	3.1	3.1
6	8	2001	7.1	39.0	1.4	5.6
7	8	2001	14.0	27.5	5.2	3.4
8	8	2001	16.0	21.2	0.2	3.7
9	8	2001	14.9	36.7	9.7	4.7
10	8	2001	7.0	21.8	4.0	3.9
11	8	2001	14.4	39.6	3.7	5.6
12	8	2001	7.5	16.1	0.0	4.4
13	8	2001	6.4	15.2	3.2	4.1
14	8	2001	17.5	28.8	9.1	5.9
15	8	2001	12.6	35.4	1.9	5.6
16	8	2001	19.8	38.1	8.9	5.3
17	8	2001	10.3	24.8	5.6	4.5
18	8	2001	6.8	33.0	0.9	5.5
19	8	2001	19.7	26.7	3.6	3.0
20	8	2001	12.8	33.1	6.0	3.2
21	8	2001	13.5	30.6	5.3	5.3
22	8	2001	14.1	23.0	8.9	4.8
23	8	2001	5.2	16.9	0.2	5.8
24	8	2001	8.3	22.6	6.8	5.4
25	8	2001	18.8	25.8	5.0	5.9
26	8	2001	17.8	36.7	1.8	3.9
27	8	2001	16.8	30.7	6.1	3.1
